…(money) worth of sth.  ……价值……(接数词) 
…has a population of…  ……人口数量是…… 
…times as big as  ……是……几倍大 
…times the size of  ……是……几倍大 
a (great/large/small) number of  许多(接可数名词复数；谓语动词用复数) 
A (together) with B  ……A与B一样，……(谓语动词与A一致) 
A as well as B ……A跟B一样，……(谓语动词与A一致) 
A besides B…  除了B以外，A……(谓语动词与A一致) 
a bit of  一点(接不可数名词) 
a bit  一点(接形容词) 
a bunch of  一束、一捆 
a certain  某一个(接可数名词单数) 
a copy of  一份(报纸等) 
a couple of  几个、一些、三两个(接可数名词复数) 
a crowd of  一群、许多
a developed country  (一个)发达国家 
a developing country  (一个)发展中国家 
a diet of healthy foods  一份营养食谱 
a fallen tree  一棵倒了的树 
a few moment later  一会儿、不久以后 
a few pieces of advice  几点建议 
a good/great deal of  大量(接不可数名词) 
a good/great many  大量(接可数名词复数) 
a great deal  许多东西 
a group of  一群…… 
a highly-developed country  高度发达国家 
a kind of sth.  一类…… 
a knife and fork  一副刀叉 
a knowledge of  某一学科的知识 
a lack of  缺乏 
a large quantity of  大量(接可数、不可数名词) 
a large/small/great amount of  一些(接不可数名词) 
A like B…  像B一样，A……(谓语动词与A一致) 
a little bit  一点(接形容词) 
a little  一点(接形容词) 
a loaf of bread  一个面包 
a lost life in a desert  鸿沟 
a lot more interesting  更有趣 
a lot more  许多 
a lucky escape  幸运地逃脱 
a narrow escape  侥幸逃脱、九死一生 
a piece of advice  一条建议 
a place of interest  一处名胜 
a point of view  一种观点 
A rather than B  与其B，不如A 
a series of  一系列的 
a source of  ……的一个来源 
a third  ①三个中的一个  ②三分之一 
a total of  总计……(接数词) 
a type of  一种 
a variety of  一种 
a waste of money/time/…  浪费(金钱、时间等) 
a year and a half  一年半 
above all  最重要的是，首先要 
according to  根据、依照 
achieve one's aim/goal  实现某人的目标
achieve success  取得成功 
act a part  ①扮演一个角色  ②假装 
act as if  假装(接从句，有虚拟语气) 
act the part of sb.  演……的角色 
add A to B  把A加到B上 
add to  增加到 
add up to  总计(无被动形式) 
address a/the letter  写信(的地址) 
address sth. to sb.  给某人讲…… 
admit to  承认 
advise (that) sb. (should) do  建议某人应该做某事(虚拟语气) 
advise sb. to do  劝说某人去做 
afford sb. sth.  为某人承担…… 
afford sth. to sb.  为某人承担…… 
afford to do  能够去做 
after a time  一段时间后
after a while  不久 
after all  毕竟；终究 
